iter	Passed	Remaining
0	50	25022
1	53	13271
2	56	9278
3	60	7467
4	62	6233
5	65	5395
6	68	4825
7	71	4372
8	74	4039
9	76	3744
10	78	3498
11	81	3314
12	84	3154
13	86	3016
14	89	2893
15	91	2776
16	94	2674
17	96	2589
18	99	2512
19	101	2444
20	104	2384
21	106	2320
22	109	2277
23	112	2227
24	115	2185
25	118	2167
26	122	2146
27	126	2130
28	130	2114
29	133	2098
30	137	2081
31	141	2064
32	148	2104
33	156	2143
34	159	2121
35	163	2107
36	167	2098
37	170	2073
38	173	2054
39	176	2035
40	179	2010
41	181	1983
42	184	1963
43	187	1944
44	190	1924
45	193	1914
46	196	1895
47	199	1876
48	203	1871
49	206	1859
50	209	1842
51	211	1823
52	214	1804
53	215	1779
54	218	1764
55	219	1739
56	221	1718
57	225	1721
58	229	1714
59	233	1712
60	236	1701
61	239	1690
62	242	1681
63	245	1672
64	249	1668
65	252	1660
66	256	1655
67	258	1640
68	260	1625
69	262	1610
70	264	1598
71	266	1584
72	269	1575
73	271	1564
74	274	1554
75	276	1544
76	279	1535
77	281	1524
78	284	1516
79	287	1507
80	293	1520
81	297	1514
82	308	1551
83	312	1549
84	320	1563
85	326	1571
86	331	1575
87	343	1610
88	350	1617
89	355	1618
90	364	1637
91	369	1639
92	374	1641
93	381	1646
94	386	1646
95	392	1650
96	399	1660
97	405	1662
98	411	1665
99	418	1673
100	424	1676
101	429	1676
102	436	1683
103	443	1688
104	452	1703
105	456	1697
106	458	1684
107	461	1676
108	464	1667
109	467	1658
110	470	1650
111	473	1641
112	476	1633
113	479	1622
114	482	1615
115	485	1606
116	487	1597
117	491	1589
118	493	1581
119	496	1573
120	501	1569
121	506	1569
122	510	1565
123	513	1557
124	517	1553
125	520	1546
126	528	1552
127	532	1547
128	534	1538
129	539	1535
130	542	1526
131	544	1518
132	547	1510
133	550	1503
134	552	1494
135	555	1487
136	558	1481
137	561	1472
138	564	1466
139	566	1457
140	569	1449
141	572	1443
142	575	1436
143	577	1427
144	580	1420
145	582	1411
146	585	1405
147	587	1397
148	590	1392
149	593	1385
150	596	1378
151	599	1371
152	601	1363
153	604	1357
154	606	1349
